"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3580","Успешное оформление заказа","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","1730","Проверка ответа на вопрос №('id', 'accordion__heading-5')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","2861","Проверка ответа на вопрос №('id', 'accordion__heading-1')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","1958","Нижняя кнопка «Заказать» открывает форму","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","3657","Успешное оформление заказа","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","1866","Проверка ответа на вопрос №('id', 'accordion__heading-4')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","4778","Проверка ответа на вопрос №('id', 'accordion__heading-0')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","2221","Проверка ответа на вопрос №('id', 'accordion__heading-7')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","3251","Проверка ответа на вопрос №('id', 'accordion__heading-6')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","11501","test_fill_order_form","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","2705","test_back_button","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","3952","test_status_order_button","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","7018","Логотип Яндекса открывает Дзен в новом окне","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","4398","Логотип Самоката возвращает на главную страницу","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","2883","test_yandex_logo_redirects_to_yandex","tests","2026-08-27","passed","2026-08-27","TestOrder","test_order_buttons","",""
"","4807","Проверка ответа на вопрос №('id', 'accordion__heading-3')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
"","2926","Проверка ответа на вопрос №('id', 'accordion__heading-2')","tests","2026-08-27","passed","2026-08-27","TestFAQ","test_faq","",""
